xflr5 v6.47

Plane name :        VTOL_SINGLE_TWIN_VERTICAL_EQUIVALENT_VTAIL_NACA_LAST2
Polar name :        T5-a0.0°-30.0m/s-VLM2_Twin_Vertical_equiv_mid

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     5.000   0.006700   0.007303   0.014964   0.022267  -0.239489  -0.083326   0.019183  -0.047151  -0.046739   30.0000    -0.0422
    0.000     5.500   0.008125   0.008836   0.015079   0.023915  -0.263406  -0.091568   0.021933  -0.051846  -0.051393   30.0000    -0.0434
    0.000     6.000   0.009684   0.010516   0.015203   0.025718  -0.287314  -0.099785   0.024939  -0.056536  -0.056041   30.0000    -0.0443
    0.000     6.500   0.011376   0.012342   0.015413   0.027754  -0.311211  -0.107974   0.028266  -0.061213  -0.060684   30.0000    -0.0450
    0.000     7.000   0.013202   0.014313   0.015693   0.030006  -0.335098  -0.116132   0.031904  -0.065893  -0.065320   30.0000    -0.0456
    0.000     7.500   0.015161   0.016431   0.016004   0.032435  -0.358973  -0.124259   0.035817  -0.070569  -0.069948   30.0000    -0.0460
    0.000     8.000   0.017252   0.018695   0.016319   0.035014  -0.382836  -0.132351   0.039973  -0.075243  -0.074570   30.0000    -0.0464
    0.000     8.500   0.019476   0.021105   0.016630   0.037735  -0.406685  -0.140406   0.044379  -0.079909  -0.079183   30.0000    -0.0467
    0.000     9.000   0.021830   0.023661   0.016945   0.040606  -0.430520  -0.148422   0.049021  -0.084567  -0.083787   30.0000    -0.0470
    0.000     9.500   0.024315   0.026363   0.017262   0.043625  -0.454339  -0.156397   0.053885  -0.089214  -0.088382   30.0000    -0.0472
    0.000    10.000   0.026930   0.029211   0.017598   0.046809  -0.478143  -0.164329   0.058991  -0.093850  -0.092968   30.0000    -0.0474
    0.000    10.500   0.029674   0.032205   0.017952   0.050157  -0.501929  -0.172216   0.064343  -0.098479  -0.097544   30.0000    -0.0476
    0.000    11.000   0.032547   0.035346   0.018334   0.053680  -0.525698  -0.180055   0.069923  -0.103094  -0.102109   30.0000    -0.0477
    0.000    11.500   0.035548   0.038632   0.018737   0.057369  -0.549447  -0.187845   0.075732  -0.107698  -0.106663   30.0000    -0.0479
    0.000    12.000   0.038676   0.042065   0.019166   0.061231  -0.573177  -0.195583   0.081773  -0.112288  -0.111205   30.0000    -0.0480
    0.000    12.500   0.041930   0.045643   0.019636   0.065280  -0.596886  -0.203269   0.088060  -0.116862  -0.115736   30.0000    -0.0481
    0.000    13.000   0.045309   0.049368   0.020152   0.069521  -0.620573  -0.210898   0.094596  -0.121431  -0.120254   30.0000    -0.0482
    0.000    13.500   0.048813   0.053240   0.020711   0.073950  -0.644238  -0.218471   0.101368  -0.125990  -0.124759   30.0000    -0.0483
    0.000    14.000   0.052441   0.057257   0.021327   0.078584  -0.667879  -0.225984   0.108379  -0.130524  -0.129250   30.0000    -0.0484
    0.000    14.500   0.056191   0.061421   0.022025   0.083446  -0.691495  -0.233436   0.115656  -0.135051  -0.133728   30.0000    -0.0484
    0.000    15.000   0.060063   0.065731   0.022795   0.088526  -0.715086  -0.240826   0.123194  -0.139549  -0.138191   30.0000    -0.0485
    0.000    15.500   0.064056   0.070187   0.023674   0.093861  -0.738650  -0.248151   0.131007  -0.144055  -0.142639   30.0000    -0.0486
    0.000    16.000   0.068168   0.074790   0.024610   0.099399  -0.762187  -0.255410   0.139050  -0.148556  -0.147072   30.0000    -0.0487
    0.000    16.500   0.072399   0.079539   0.025700   0.105238  -0.785695  -0.262601   0.147423  -0.152996  -0.151490   30.0000    -0.0487
    0.000    17.000   0.076748   0.084435   0.027083   0.111518  -0.809173  -0.269722   0.156261  -0.157352  -0.155891   30.0000    -0.0488
    0.000    17.500   0.081213   0.089477   0.047461   0.136938  -0.832620  -0.276771   0.186836  -0.154124  -0.160275   30.0000    -0.0488


