Cessna208_HTP_VTP_v1
HTPVTP_T1-90.1 m/s-VLM1-x0.875m_FL100
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -11.5            0     -0.97496     0.089901     0.040348     0.049553   1.9146e-05    0.0011093    0.0028877   -0.0017784  -3.7629e-06     2.42e-06   1.0169e-07   2.3183e-06      -10.845      -10.708            0       -23644       2180.3      -3536.3      0.46433       -23409      -4754.1      0.47824       -23367            0            0            0       89.697      -10.192       90.078      -5.2683     -0.48994       29.131      0.47422       0.3918  -3.6427e-06     0.014801       -15723  -3.6284e+05   1.9639e+05       1.0281     -0.38199            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0          -11            0     -0.93877     0.090814     0.044875     0.045939   1.9237e-05    0.0014263    0.0030272   -0.0016009   -3.754e-06   2.4936e-06   1.3659e-07    2.357e-06      -10.337      -10.016            0       -22767       2202.4      -3250.5      0.46653       -22561      -4377.9      0.48003       -22522            0            0            0       89.659      -10.897       90.078      -5.5254     -0.49148       37.456      0.48066       0.3915   -3.804e-06      0.01479       -15155  -3.8792e+05   1.9839e+05       1.0282     -0.36753            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0        -10.5            0     -0.90243      0.11434     0.071891     0.042447   1.9325e-05    0.0021439    0.0035758   -0.0014319  -3.7441e-06   2.6264e-06   2.3098e-07   2.3955e-06      -7.8926      -7.4977            0       -21885       2772.9      -2976.1      0.46867       -21707      -4016.4      0.48174       -21671            0            0            0       89.364      -14.556       90.078      -7.2209     -0.49293         56.3      0.49596      0.39122  -3.9785e-06     0.014779       -14582  -5.1821e+05   2.4978e+05       1.0283     -0.35305            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0          -10            0     -0.86593      0.10574     0.066663      0.03908    1.941e-05    0.0020786    0.0033501   -0.0012716  -3.7332e-06   2.6843e-06   2.5067e-07   2.4336e-06      -8.1891      -7.6204            0       -21000       2564.4      -2713.3      0.47074       -20846      -3669.9      0.48336       -20813            0            0            0       89.414      -14.322       90.078      -6.9621      -0.4943       54.584      0.50006      0.39095   -4.168e-06     0.014769       -14005  -5.0986e+05     2.31e+05       1.0284     -0.33854            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0         -9.5            0     -0.82929     0.088139       0.0523     0.035839   1.9493e-05    0.0018373    0.0029571   -0.0011198  -3.7212e-06   2.7821e-06   3.1058e-07   2.4716e-06       -9.409      -8.5683            0       -20112       2137.5      -2462.2      0.47273       -19979      -3338.3      0.48489       -19949            0            0            0       89.574      -12.737       90.078      -6.0667     -0.49558       48.248      0.51015       0.3907  -4.3747e-06     0.014759       -13423  -4.5346e+05   1.9254e+05       1.0285       -0.324            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0           -9            0     -0.79252     0.064776     0.032049     0.032726   1.9572e-05    0.0015063     0.002483  -0.00097671  -3.7083e-06   2.9012e-06   3.9204e-07   2.5092e-06      -12.235      -10.892            0       -19220       1570.9      -2222.8      0.47466       -19107      -3021.9      0.48633       -19080            0            0            0       89.779       -10.02       90.078      -4.6726     -0.49678       39.556      0.52343      0.39046   -4.601e-06      0.01475       -12838  -3.5672e+05   1.4151e+05       1.0286     -0.30944            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0         -8.5            0     -0.75561     0.045023     0.015278     0.029745   1.9649e-05     0.001289    0.0021313  -0.00084233  -3.6944e-06   2.8232e-06   2.7665e-07   2.5465e-06      -16.783      -14.588            0       -18325       1091.9      -1995.1      0.47653       -18230      -2720.8      0.48768       -18205            0            0            0       89.919      -7.4811       90.078        -3.41     -0.49789       33.849      0.50711      0.39023  -4.8497e-06     0.014742       -12250  -2.6633e+05        98356       1.0288     -0.29486            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0           -8            0     -0.71858     0.036326     0.009429     0.026897   1.9723e-05    0.0013116    0.0020283   -0.0007167  -3.6796e-06   2.5882e-06    4.724e-09   2.5835e-06      -19.781      -16.768            0       -17427       880.98      -1779.4      0.47832       -17348      -2434.9      0.48894       -17325            0            0            0       89.963      -6.5086       90.078       -2.894     -0.49891       34.444      0.46715      0.39001  -5.1245e-06     0.014733       -11658  -2.3171e+05        79357       1.0289     -0.28025            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0         -7.5            0     -0.68142     0.033306    0.0091213     0.024184   1.9794e-05    0.0014283    0.0020281  -0.00059986  -3.6637e-06   2.6236e-06   3.4783e-09   2.6201e-06       -20.46      -16.889            0       -16526       807.72      -1575.5      0.48004       -16461      -2164.4      0.49011       -16441            0            0            0       89.971       -6.462       90.078      -2.7982     -0.49985       37.508      0.46779      0.38981  -5.4297e-06     0.014726       -11063  -2.3005e+05        72758       1.0291     -0.26562            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
          0           -7            0     -0.64416     0.030519    0.0089109     0.021608   1.9862e-05    0.0015376    0.0020295  -0.00049185  -3.6469e-06   2.6598e-06   3.4394e-09   2.6563e-06      -21.107       -16.94            0       -15622       740.14      -1383.7      0.48168       -15569      -1909.5      0.49119       -15551            0            0            0       89.977      -6.4425       90.078      -2.7125     -0.50069       40.379      0.46856      0.38962  -5.7706e-06     0.014719       -10464  -2.2936e+05        66670       1.0292     -0.25098            0            0            0            0            0            0            0            0            0         3629       0.3875            0  
